質問１．現在、あなたは「福祉」とどのような関わりがありますか。次の中から該当するものをすべて選んでください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問１,全体,年代別１,,,,,,,,年代別２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10歳代,20歳代,30歳代,40歳代,50歳代,60歳代,70歳代,"80歳
以上",高齢者,,,"65歳
未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
３．知らない,418 ,27 ,30 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.2%,60.0%,55.6%,66.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,7 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.9%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問18,福祉との関わり別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,関わりはない,仕事・ボランティア,福祉サービスを必要としている人,,,,,,身近にいる,その他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,高齢,障がい,子育て,病弱,ひとり親家庭,"生活
困窮",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,484 ,89 ,77 ,45 ,44 ,25 ,20 ,21 ,192 ,37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１．知っている,90 ,32 ,10 ,6 ,30 ,6 ,10 ,3 ,48 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18.6%,36.0%,13.0%,13.3%,68.2%,24.0%,50.0%,14.3%,25.0%,8.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"２．名称は聞いたことが
　ある",106 ,30 ,22 ,11 ,8 ,3 ,5 ,4 ,53 ,8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21.9%,33.7%,28.6%,24.4%,18.2%,12.0%,25.0%,19.0%,27.6%,21.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
３．知らない,285 ,27 ,43 ,26 ,6 ,15 ,5 ,13 ,91 ,26 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,58.9%,30.3%,55.8%,57.8%,13.6%,60.0%,25.0%,61.9%,47.4%,70.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,3 ,0 ,2 ,2 ,0 ,1 ,0 ,1 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.6%,0.0%,2.6%,4.4%,0.0%,4.0%,0.0%,4.8%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問19．あなたは、生活支援員が判断能力の不十分な高齢者や障がい者の福祉サービス利用の援助などをする「地域福祉権利擁護事業（日常生活自立支援事業）」についてご存じですか。次の中から１つ選んでください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問19,全体,年代別１,,,,,,,,年代別２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10歳代,20歳代,30歳代,40歳代,50歳代,60歳代,70歳代,"80歳
以上",高齢者,,,"65歳
未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"前期
高齢者","後期
高齢者",(小計),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,919 ,15 ,49 ,79 ,131 ,134 ,205 ,183 ,108 ,217 ,195 ,412 ,493 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１．知っている,107 ,1 ,3 ,7 ,20 ,19 ,21 ,25 ,11 ,25 ,23 ,48 ,59 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11.6%,6.7%,6.1%,8.9%,15.3%,14.2%,10.2%,13.7%,10.2%,11.5%,11.8%,11.7%,12.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"２．名称は聞いたことが
　ある",208 ,4 ,7 ,13 ,17 ,27 ,47 ,58 ,32 ,58 ,62 ,120 ,85 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22.6%,26.7%,14.3%,16.5%,13.0%,20.1%,22.9%,31.7%,29.6%,26.7%,31.8%,29.1%,17.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
３．知らない,599 ,10 ,39 ,59 ,94 ,88 ,137 ,98 ,62 ,134 ,105 ,239 ,349 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65.2%,66.7%,79.6%,74.7%,71.8%,65.7%,66.8%,53.6%,57.4%,61.8%,53.8%,58.0%,70.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,5 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,3 ,0 ,5 ,5 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.1%,2.8%,0.0%,2.6%,1.2%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問19,性別,,職業別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,男性,女性,有業者,,,,,無業者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,雇われている人,会社・団体の役員,自営・家族従事者,"その他
有業者",(小計),学生,"専業
主婦","年金
生活者","その他
無業者",(小計),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,365 ,541 ,366 ,19 ,54 ,22 ,461 ,24 ,101 ,294 ,18 ,437 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１．知っている,36 ,70 ,43 ,4 ,4 ,3 ,54 ,2 ,18 ,27 ,3 ,50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.9%,12.9%,11.7%,21.1%,7.4%,13.6%,11.7%,8.3%,17.8%,9.2%,16.7%,11.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"２．名称は聞いたことが
　ある",75 ,130 ,63 ,3 ,14 ,6 ,86 ,4 ,17 ,90 ,6 ,117 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20.5%,24.0%,17.2%,15.8%,25.9%,27.3%,18.7%,16.7%,16.8%,30.6%,33.3%,26.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
３．知らない,252 ,338 ,259 ,12 ,36 ,13 ,320 ,18 ,66 ,175 ,9 ,268 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69.0%,62.5%,70.8%,63.2%,66.7%,59.1%,69.4%,75.0%,65.3%,59.5%,50.0%,61.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,2 ,3 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,2 ,0 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.5%,0.6%,0.3%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.7%,0.0%,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問19,居住地域別,,,,,,,居住年数別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,中央,東部,西部,南部,北部,河辺,雄和,"５年
未満","５～
９年","10～
19年","20～
29年","30年
以上",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,214 ,180 ,97 ,139 ,235 ,22 ,15 ,37 ,39 ,73 ,137 ,606 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１．知っている,24 ,24 ,10 ,18 ,26 ,1 ,3 ,3 ,3 ,9 ,13 ,77 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11.2%,13.3%,10.3%,12.9%,11.1%,4.5%,20.0%,8.1%,7.7%,12.3%,9.5%,12.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"２．名称は聞いたことが
　ある",41 ,39 ,21 ,31 ,59 ,8 ,4 ,6 ,5 ,17 ,25 ,144 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19.2%,21.7%,21.6%,22.3%,25.1%,36.4%,26.7%,16.2%,12.8%,23.3%,18.2%,23.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
３．知らない,147 ,117 ,66 ,90 ,148 ,13 ,8 ,28 ,31 ,47 ,99 ,383 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,68.7%,65.0%,68.0%,64.7%,63.0%,59.1%,53.3%,75.7%,79.5%,64.4%,72.3%,63.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,2 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.9%,0.0%,0.0%,0.0%,0.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問19,同居家族別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,子ども(中学生以下)がいない,,,,,子どもがいる,,,その他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,単身,"夫婦
のみ",二世代,三世代,(小計),二世代,三世代,(小計),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,121 ,264 ,231 ,45 ,661 ,133 ,35 ,168 ,65 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１．知っている,16 ,24 ,31 ,4 ,75 ,18 ,1 ,19 ,12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13.2%,9.1%,13.4%,8.9%,11.3%,13.5%,2.9%,11.3%,18.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"２．名称は聞いたことが
　ある",21 ,63 ,44 ,12 ,140 ,24 ,12 ,36 ,23 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17.4%,23.9%,19.0%,26.7%,21.2%,18.0%,34.3%,21.4%,35.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
３．知らない,81 ,177 ,156 ,29 ,443 ,91 ,22 ,113 ,30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,66.9%,67.0%,67.5%,64.4%,67.0%,68.4%,62.9%,67.3%,46.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,3 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.5%,0.0%,0.0%,0.0%,0.5%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問19,同居家族別(高齢者),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,単身,,,夫婦のみ,,,子世代と同居,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"前期
高齢者","後期
高齢者",(小計),"前期
高齢者","後期
高齢者",(小計),"前期
高齢者","後期
高齢者",(小計),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,35 ,30 ,65 ,87 ,75 ,162 ,71 ,64 ,135 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１．知っている,6 ,5 ,11 ,8 ,8 ,16 ,7 ,10 ,17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17.1%,16.7%,16.9%,9.2%,10.7%,9.9%,9.9%,15.6%,12.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"２．名称は聞いたことが
　ある",7 ,9 ,16 ,21 ,27 ,48 ,19 ,17 ,36 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20.0%,30.0%,24.6%,24.1%,36.0%,29.6%,26.8%,26.6%,26.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
３．知らない,22 ,13 ,35 ,58 ,40 ,98 ,45 ,37 ,82 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62.9%,43.3%,53.8%,66.7%,53.3%,60.5%,63.4%,57.8%,60.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,0 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0%,10.0%,4.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問19,居住形態別,,,,,暮らし向き別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,持ち家(一戸建て),持ち家(ﾏﾝｼｮﾝ),借家(一戸建て),借家(ｱﾊﾟｰﾄ･ﾏﾝｼｮﾝ),その他,余裕がある,やや余裕がある,変わらない,やや苦しい,苦しい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,731 ,36 ,30 ,84 ,24 ,10 ,82 ,414 ,275 ,123 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１．知っている,90 ,3 ,5 ,7 ,1 ,2 ,11 ,46 ,34 ,11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12.3%,8.3%,16.7%,8.3%,4.2%,20.0%,13.4%,11.1%,12.4%,8.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"２．名称は聞いたことが
　ある",182 ,5 ,2 ,10 ,4 ,3 ,19 ,94 ,63 ,25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24.9%,13.9%,6.7%,11.9%,16.7%,30.0%,23.2%,22.7%,22.9%,20.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
３．知らない,458 ,26 ,23 ,67 ,18 ,5 ,52 ,273 ,176 ,86 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62.7%,72.2%,76.7%,79.8%,75.0%,50.0%,63.4%,65.9%,64.0%,69.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,1 ,2 ,0 ,0 ,1 ,0 ,0 ,1 ,2 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.1%,5.6%,0.0%,0.0%,4.2%,0.0%,0.0%,0.2%,0.7%,0.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問19,町内会の加入状況別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,加入している,加入していない,わからない,その他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,801 ,45 ,54 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１．知っている,99 ,4 ,2 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12.4%,8.9%,3.7%,33.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"２．名称は聞いたことが
　ある",192 ,2 ,9 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24.0%,4.4%,16.7%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
３．知らない,508 ,39 ,43 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63.4%,86.7%,79.6%,66.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,2 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.2%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問19,福祉との関わり別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,関わりはない,仕事・ボランティア,福祉サービスを必要としている人,,,,,,身近にいる,その他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,高齢,障がい,子育て,病弱,ひとり親家庭,"生活
困窮",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,484 ,89 ,77 ,45 ,44 ,25 ,20 ,21 ,192 ,37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１．知っている,36 ,29 ,9 ,7 ,6 ,4 ,6 ,2 ,36 ,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.4%,32.6%,11.7%,15.6%,13.6%,16.0%,30.0%,9.5%,18.8%,13.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"２．名称は聞いたことが
　ある",91 ,23 ,18 ,14 ,8 ,6 ,6 ,5 ,58 ,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18.8%,25.8%,23.4%,31.1%,18.2%,24.0%,30.0%,23.8%,30.2%,16.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
３．知らない,355 ,37 ,48 ,24 ,30 ,15 ,8 ,14 ,98 ,26 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,73.3%,41.6%,62.3%,53.3%,68.2%,60.0%,40.0%,66.7%,51.0%,70.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,2 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.4%,0.0%,2.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問20．あなたは、後見人が判断能力の不十分な高齢者や障がい者の財産管理や身上監護などをする「成年後見制度」についてご存じですか。次の中から１つ選んでください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問20,全体,年代別１,,,,,,,,年代別２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10歳代,20歳代,30歳代,40歳代,50歳代,60歳代,70歳代,"80歳
以上",高齢者,,,"65歳
未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"前期
高齢者","後期
高齢者",(小計),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,919 ,15 ,49 ,79 ,131 ,134 ,205 ,183 ,108 ,217 ,195 ,412 ,493 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１．知っている,426 ,1 ,17 ,35 ,61 ,70 ,98 ,98 ,38 ,118 ,79 ,197 ,221 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46.4%,6.7%,34.7%,44.3%,46.6%,52.2%,47.8%,53.6%,35.2%,54.4%,40.5%,47.8%,44.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"２．名称は聞いたことが
　ある",267 ,2 ,8 ,18 ,39 ,36 ,72 ,50 ,40 ,66 ,66 ,132 ,134 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29.1%,13.3%,16.3%,22.8%,29.8%,26.9%,35.1%,27.3%,37.0%,30.4%,33.8%,32.0%,27.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
３．知らない,216 ,12 ,24 ,26 ,30 ,26 ,34 ,34 ,27 ,32 ,46 ,78 ,135 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23.5%,80.0%,49.0%,32.9%,22.9%,19.4%,16.6%,18.6%,25.0%,14.7%,23.6%,18.9%,27.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
